user_id,is_gmail,subscription_id,has_facebook,followers_count,followees_count,users_btw_user_and_inviter,reg_hour,reg_weekday,device_is_limited_ad_tracking,push_allowed,battery_save_mode,steps_provider_is_set,watch_is_paired,inviter_invited_count,invited_count,is_ios,is_email_status_good,Actual,Predicted
3754758,1,2,1,1,0,29500,20,6,0,1,1,0,0,73673,0,1,0,0,0.8977678094331192
3754758,1,2,1,1,0,29500,20,6,0,1,1,0,0,73673,0,1,0,0,0.8977678094331192
3881753,0,2,1,1,1,25423,16,3,0,0,1,0,0,73673,0,1,0,0,0.8977577280830866
3881753,0,2,1,1,1,25423,16,3,0,0,1,0,0,73673,0,1,0,0,0.8977577280830866
3881753,0,2,1,1,1,25423,16,3,0,0,1,0,0,73673,0,1,0,0,0.8977577280830866
3881753,0,2,1,1,1,25423,16,3,0,0,1,0,0,73673,0,1,0,0,0.8977577280830866
1059581,1,3,1,4,4,0,1,1,0,1,0,1,0,0,2,0,0,0,0.8977546482831708
1059581,1,3,1,4,4,0,1,1,0,1,0,1,0,0,2,0,0,0,0.8977546482831708
1059581,1,3,1,4,4,0,1,1,0,1,0,1,0,0,2,0,0,0,0.8977546482831708
1059581,1,3,1,4,4,0,1,1,0,1,0,1,0,0,2,0,0,0,0.8977546482831708
1720677,0,2,1,2,2,26993,18,6,0,0,0,0,0,39779,0,1,0,0,0.8977282311302858
1720677,0,2,1,2,2,26993,18,6,0,0,0,0,0,39779,0,1,0,0,0.8977282311302858
1720677,0,2,1,2,2,26993,18,6,0,0,0,0,0,39779,0,1,0,0,0.8977282311302858
1720677,0,2,1,2,2,26993,18,6,0,0,0,0,0,39779,0,1,0,0,0.8977282311302858
13946336,1,2,1,0,1,2986,22,4,0,0,0,0,0,15768,0,1,0,0,0.8977089737671895
3347710,1,3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.8976909097161786
5004897,0,2,1,4,1,-4571,2,2,0,1,1,0,0,112267,0,1,0,0,0.8976824292414598
5004897,0,2,1,4,1,-4571,2,2,0,1,1,0,0,112267,0,1,0,0,0.8976824292414598
5004897,0,2,1,4,1,-4571,2,2,0,1,1,0,0,112267,0,1,0,0,0.8976824292414598
5004897,0,2,1,4,1,-4571,2,2,0,1,1,0,0,112267,0,1,0,0,0.8976824292414598
9872667,1,3,0,2,2,0,21,2,0,0,0,1,0,0,2,0,0,0,0.8976677653182599
9872667,1,3,0,2,2,0,21,2,0,0,0,1,0,0,2,0,0,0,0.8976677653182599
9872667,1,3,0,2,2,0,21,2,0,0,0,1,0,0,2,0,0,0,0.8976677653182599
9872667,1,3,0,2,2,0,21,2,0,0,0,1,0,0,2,0,0,0,0.8976677653182599
2160740,1,2,1,1,0,-32580,6,3,0,1,0,0,0,54435,0,1,0,0,0.8974790735862043
2160740,1,2,1,1,0,-32580,6,3,0,1,0,0,0,54435,0,1,0,0,0.8974790735862043
2160740,1,2,1,1,0,-32580,6,3,0,1,0,0,0,54435,0,1,0,0,0.8974790735862043
2160740,1,2,1,1,0,-32580,6,3,0,1,0,0,0,54435,0,1,0,0,0.8974790735862043
29645130,1,2,1,0,1,-19594,16,3,0,0,1,0,0,45589,0,1,0,0,0.8974269560349879
9466138,1,2,0,2,9,-1678,10,7,0,0,0,0,0,54435,1,1,0,0,0.8973893001659936
9466138,1,2,0,2,9,-1678,10,7,0,0,0,0,0,54435,1,1,0,0,0.8973893001659936
9466138,1,2,0,2,9,-1678,10,7,0,0,0,0,0,54435,1,1,0,0,0.8973893001659936
9466138,1,2,0,2,9,-1678,10,7,0,0,0,0,0,54435,1,1,0,0,0.8973893001659936
